target_id,known_values,qid_filter_values,refine_values,qid_exposed_values,qid_equivalence_class_size,stage1_equivalence_class_size,reduced_equivalence_class_size,stage2_equivalence_class_size,equivalence_class_size,equivalence_class_reduction,equivalence_class_reduction_rate,true_record_in_qid_class,true_record_in_reduced_class,unique_reidentified,false_unique_match,true_sensitive_value,predicted_sensitive_top_value,predicted_sensitive_top_probability,true_sensitive_probability,sensitive_value_certain,n_distinct_sensitive_values,sensitive_distribution_json
30695,sex=Male | race=White | age=47,age=47,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,>50K,<=50K,0.532384,0.467616,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
5607,sex=Male | race=Black | age=39,age=39,sex=Male | race=Black,age=30-39,8051,8051,381,381,381,7670,0.952677,True,True,False,False,<=50K,<=50K,0.816273,0.816273,False,2,"{""<=50K"": 0.816273, "">50K"": 0.183727}"
24972,sex=Male | race=White | age=41,age=41,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,<=50K,<=50K,0.532384,0.532384,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
20384,sex=Female | race=Black | age=35,age=35,sex=Female | race=Black,age=30-39,8051,8051,429,429,429,7622,0.946715,True,True,False,False,<=50K,<=50K,0.939394,0.939394,False,2,"{""<=50K"": 0.939394, "">50K"": 0.060606}"
12240,sex=Male | race=Black | age=46,age=46,sex=Male | race=Black,age=40-49,6745,6745,333,333,333,6412,0.95063,True,True,False,False,<=50K,<=50K,0.663664,0.663664,False,2,"{""<=50K"": 0.663664, "">50K"": 0.336336}"
16584,sex=Female | race=Black | age=26,age=26,sex=Female | race=Black,age=20-29,7354,7354,342,342,342,7012,0.953495,True,True,False,False,<=50K,<=50K,0.973684,0.973684,False,2,"{""<=50K"": 0.973684, "">50K"": 0.026316}"
25935,sex=Female | race=White | age=30,age=30,sex=Female | race=White,age=30-39,8051,8051,1831,1831,1831,6220,0.772575,True,True,False,False,<=50K,<=50K,0.823048,0.823048,False,2,"{""<=50K"": 0.823048, "">50K"": 0.176952}"
4753,sex=Male | race=Black | age=47,age=47,sex=Male | race=Black,age=40-49,6745,6745,333,333,333,6412,0.95063,True,True,False,False,>50K,<=50K,0.663664,0.336336,False,2,"{""<=50K"": 0.663664, "">50K"": 0.336336}"
12082,sex=Female | race=Black | age=36,age=36,sex=Female | race=Black,age=30-39,8051,8051,429,429,429,7622,0.946715,True,True,False,False,<=50K,<=50K,0.939394,0.939394,False,2,"{""<=50K"": 0.939394, "">50K"": 0.060606}"
3169,sex=Male | race=White | age=41,age=41,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,<=50K,<=50K,0.532384,0.532384,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
23997,sex=Female | race=White | age=23,age=23,sex=Female | race=White,age=20-29,7354,7354,2410,2410,2410,4944,0.672287,True,True,False,False,<=50K,<=50K,0.956846,0.956846,False,2,"{""<=50K"": 0.956846, "">50K"": 0.043154}"
15820,sex=Female | race=Amer-Indian-Eskimo | age=22,age=22,sex=Female | race=Amer-Indian-Eskimo,age=20-29,7354,7354,26,26,26,7328,0.996465,True,True,False,False,<=50K,<=50K,0.884615,0.884615,False,2,"{""<=50K"": 0.884615, "">50K"": 0.115385}"
24140,sex=Male | race=White | age=55,age=55,sex=Male | race=White,age=50-59,4106,4106,2686,2686,2686,1420,0.345835,True,True,False,False,>50K,<=50K,0.513031,0.486969,False,2,"{""<=50K"": 0.513031, "">50K"": 0.486969}"
22681,sex=Female | race=White | age=47,age=47,sex=Female | race=White,age=40-49,6745,6745,1566,1566,1566,5179,0.767828,True,True,False,False,<=50K,<=50K,0.809706,0.809706,False,2,"{""<=50K"": 0.809706, "">50K"": 0.190294}"
12470,sex=Male | race=White | age=31,age=31,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,<=50K,<=50K,0.670382,0.670382,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
29788,sex=Male | race=White | age=34,age=34,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,<=50K,<=50K,0.670382,0.670382,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
25335,sex=Male | race=White | age=46,age=46,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,>50K,<=50K,0.532384,0.467616,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
23535,sex=Male | race=White | age=59,age=59,sex=Male | race=White,age=50-59,4106,4106,2686,2686,2686,1420,0.345835,True,True,False,False,>50K,<=50K,0.513031,0.486969,False,2,"{""<=50K"": 0.513031, "">50K"": 0.486969}"
2676,sex=Male | race=White | age=62,age=62,sex=Male | race=White,age=60-69,1876,1876,1218,1218,1218,658,0.350746,True,True,False,False,<=50K,<=50K,0.652709,0.652709,False,2,"{""<=50K"": 0.652709, "">50K"": 0.347291}"
15660,sex=Male | race=White | age=52,age=52,sex=Male | race=White,age=50-59,4106,4106,2686,2686,2686,1420,0.345835,True,True,False,False,>50K,<=50K,0.513031,0.486969,False,2,"{""<=50K"": 0.513031, "">50K"": 0.486969}"
14317,sex=Female | race=White | age=47,age=47,sex=Female | race=White,age=40-49,6745,6745,1566,1566,1566,5179,0.767828,True,True,False,False,<=50K,<=50K,0.809706,0.809706,False,2,"{""<=50K"": 0.809706, "">50K"": 0.190294}"
11544,sex=Male | race=White | age=30,age=30,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,<=50K,<=50K,0.670382,0.670382,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
20751,sex=Male | race=White | age=36,age=36,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,<=50K,<=50K,0.670382,0.670382,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
30794,sex=Male | race=White | age=19,age=19,sex=Male | race=White,age=10-19,1324,1324,675,675,675,649,0.490181,True,True,False,False,<=50K,<=50K,0.998519,0.998519,False,2,"{""<=50K"": 0.998519, "">50K"": 0.001481}"
21705,sex=Female | race=Asian-Pac-Islander | age=35,age=35,sex=Female | race=Asian-Pac-Islander,age=30-39,8051,8051,77,77,77,7974,0.990436,True,True,False,False,>50K,<=50K,0.792208,0.207792,False,2,"{""<=50K"": 0.792208, "">50K"": 0.207792}"
10192,sex=Male | race=White | age=59,age=59,sex=Male | race=White,age=50-59,4106,4106,2686,2686,2686,1420,0.345835,True,True,False,False,>50K,<=50K,0.513031,0.486969,False,2,"{""<=50K"": 0.513031, "">50K"": 0.486969}"
29021,sex=Female | race=Amer-Indian-Eskimo | age=28,age=28,sex=Female | race=Amer-Indian-Eskimo,age=20-29,7354,7354,26,26,26,7328,0.996465,True,True,False,False,<=50K,<=50K,0.884615,0.884615,False,2,"{""<=50K"": 0.884615, "">50K"": 0.115385}"
22280,sex=Male | race=White | age=59,age=59,sex=Male | race=White,age=50-59,4106,4106,2686,2686,2686,1420,0.345835,True,True,False,False,>50K,<=50K,0.513031,0.486969,False,2,"{""<=50K"": 0.513031, "">50K"": 0.486969}"
4175,sex=Male | race=White | age=49,age=49,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,<=50K,<=50K,0.532384,0.532384,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
14883,sex=Male | race=White | age=48,age=48,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,>50K,<=50K,0.532384,0.467616,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
17251,sex=Male | race=White | age=34,age=34,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,<=50K,<=50K,0.670382,0.670382,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
15123,sex=Male | race=White | age=30,age=30,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,<=50K,<=50K,0.670382,0.670382,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
8630,sex=Male | race=White | age=21,age=21,sex=Male | race=White,age=20-29,7354,7354,3922,3922,3922,3432,0.466685,True,True,False,False,<=50K,<=50K,0.917134,0.917134,False,2,"{""<=50K"": 0.917134, "">50K"": 0.082866}"
28175,sex=Male | race=White | age=19,age=19,sex=Male | race=White,age=10-19,1324,1324,675,675,675,649,0.490181,True,True,False,False,<=50K,<=50K,0.998519,0.998519,False,2,"{""<=50K"": 0.998519, "">50K"": 0.001481}"
13120,sex=Male | race=White | age=51,age=51,sex=Male | race=White,age=50-59,4106,4106,2686,2686,2686,1420,0.345835,True,True,False,False,>50K,<=50K,0.513031,0.486969,False,2,"{""<=50K"": 0.513031, "">50K"": 0.486969}"
16900,sex=Male | race=White | age=22,age=22,sex=Male | race=White,age=20-29,7354,7354,3922,3922,3922,3432,0.466685,True,True,False,False,<=50K,<=50K,0.917134,0.917134,False,2,"{""<=50K"": 0.917134, "">50K"": 0.082866}"
22537,sex=Male | race=White | age=45,age=45,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,>50K,<=50K,0.532384,0.467616,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
8184,sex=Male | race=White | age=59,age=59,sex=Male | race=White,age=50-59,4106,4106,2686,2686,2686,1420,0.345835,True,True,False,False,>50K,<=50K,0.513031,0.486969,False,2,"{""<=50K"": 0.513031, "">50K"": 0.486969}"
25633,sex=Male | race=White | age=56,age=56,sex=Male | race=White,age=50-59,4106,4106,2686,2686,2686,1420,0.345835,True,True,False,False,>50K,<=50K,0.513031,0.486969,False,2,"{""<=50K"": 0.513031, "">50K"": 0.486969}"
5525,sex=Female | race=Asian-Pac-Islander | age=34,age=34,sex=Female | race=Asian-Pac-Islander,age=30-39,8051,8051,77,77,77,7974,0.990436,True,True,False,False,<=50K,<=50K,0.792208,0.792208,False,2,"{""<=50K"": 0.792208, "">50K"": 0.207792}"
30439,sex=Female | race=White | age=24,age=24,sex=Female | race=White,age=20-29,7354,7354,2410,2410,2410,4944,0.672287,True,True,False,False,<=50K,<=50K,0.956846,0.956846,False,2,"{""<=50K"": 0.956846, "">50K"": 0.043154}"
3319,sex=Male | race=White | age=20,age=20,sex=Male | race=White,age=20-29,7354,7354,3922,3922,3922,3432,0.466685,True,True,False,False,<=50K,<=50K,0.917134,0.917134,False,2,"{""<=50K"": 0.917134, "">50K"": 0.082866}"
19450,sex=Male | race=White | age=44,age=44,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,>50K,<=50K,0.532384,0.467616,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
16849,sex=Male | race=White | age=40,age=40,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,<=50K,<=50K,0.532384,0.532384,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
27404,sex=Female | race=Black | age=61,age=61,sex=Female | race=Black,age=60-69,1876,1876,78,78,78,1798,0.958422,True,True,False,False,<=50K,<=50K,0.987179,0.987179,False,2,"{""<=50K"": 0.987179, "">50K"": 0.012821}"
7669,sex=Male | race=Asian-Pac-Islander | age=58,age=58,sex=Male | race=Asian-Pac-Islander,age=50-59,4106,4106,86,86,86,4020,0.979055,True,True,False,False,<=50K,<=50K,0.5,0.5,False,2,"{""<=50K"": 0.5, "">50K"": 0.5}"
16536,sex=Male | race=White | age=33,age=33,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,<=50K,<=50K,0.670382,0.670382,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
26921,sex=Female | race=White | age=19,age=19,sex=Female | race=White,age=10-19,1324,1324,649,649,649,675,0.509819,True,True,False,False,<=50K,<=50K,0.998459,0.998459,False,2,"{""<=50K"": 0.998459, "">50K"": 0.001541}"
10894,sex=Female | race=White | age=71,age=71,sex=Female | race=White,age=70-79,439,439,139,139,139,300,0.683371,True,True,False,False,<=50K,<=50K,0.942446,0.942446,False,2,"{""<=50K"": 0.942446, "">50K"": 0.057554}"
18023,sex=Male | race=White | age=63,age=63,sex=Male | race=White,age=60-69,1876,1876,1218,1218,1218,658,0.350746,True,True,False,False,<=50K,<=50K,0.652709,0.652709,False,2,"{""<=50K"": 0.652709, "">50K"": 0.347291}"
3151,sex=Male | race=White | age=24,age=24,sex=Male | race=White,age=20-29,7354,7354,3922,3922,3922,3432,0.466685,True,True,False,False,<=50K,<=50K,0.917134,0.917134,False,2,"{""<=50K"": 0.917134, "">50K"": 0.082866}"
14109,sex=Male | race=White | age=58,age=58,sex=Male | race=White,age=50-59,4106,4106,2686,2686,2686,1420,0.345835,True,True,False,False,<=50K,<=50K,0.513031,0.513031,False,2,"{""<=50K"": 0.513031, "">50K"": 0.486969}"
21261,sex=Male | race=White | age=45,age=45,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,>50K,<=50K,0.532384,0.467616,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
11864,sex=Male | race=White | age=21,age=21,sex=Male | race=White,age=20-29,7354,7354,3922,3922,3922,3432,0.466685,True,True,False,False,<=50K,<=50K,0.917134,0.917134,False,2,"{""<=50K"": 0.917134, "">50K"": 0.082866}"
1193,sex=Male | race=White | age=28,age=28,sex=Male | race=White,age=20-29,7354,7354,3922,3922,3922,3432,0.466685,True,True,False,False,<=50K,<=50K,0.917134,0.917134,False,2,"{""<=50K"": 0.917134, "">50K"": 0.082866}"
19017,sex=Male | race=White | age=33,age=33,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,<=50K,<=50K,0.670382,0.670382,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
9492,sex=Female | race=White | age=38,age=38,sex=Female | race=White,age=30-39,8051,8051,1831,1831,1831,6220,0.772575,True,True,False,False,<=50K,<=50K,0.823048,0.823048,False,2,"{""<=50K"": 0.823048, "">50K"": 0.176952}"
26247,sex=Male | race=White | age=45,age=45,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,>50K,<=50K,0.532384,0.467616,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
20912,sex=Male | race=White | age=42,age=42,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,<=50K,<=50K,0.532384,0.532384,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
22687,sex=Male | race=White | age=19,age=19,sex=Male | race=White,age=10-19,1324,1324,675,675,675,649,0.490181,True,True,False,False,<=50K,<=50K,0.998519,0.998519,False,2,"{""<=50K"": 0.998519, "">50K"": 0.001481}"
3071,sex=Male | race=White | age=35,age=35,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,>50K,<=50K,0.670382,0.329618,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
19600,sex=Female | race=White | age=57,age=57,sex=Female | race=White,age=50-59,4106,4106,916,916,916,3190,0.776912,True,True,False,False,<=50K,<=50K,0.805677,0.805677,False,2,"{""<=50K"": 0.805677, "">50K"": 0.194323}"
4082,sex=Male | race=White | age=52,age=52,sex=Male | race=White,age=50-59,4106,4106,2686,2686,2686,1420,0.345835,True,True,False,False,<=50K,<=50K,0.513031,0.513031,False,2,"{""<=50K"": 0.513031, "">50K"": 0.486969}"
12309,sex=Female | race=White | age=22,age=22,sex=Female | race=White,age=20-29,7354,7354,2410,2410,2410,4944,0.672287,True,True,False,False,<=50K,<=50K,0.956846,0.956846,False,2,"{""<=50K"": 0.956846, "">50K"": 0.043154}"
26009,sex=Male | race=White | age=19,age=19,sex=Male | race=White,age=10-19,1324,1324,675,675,675,649,0.490181,True,True,False,False,<=50K,<=50K,0.998519,0.998519,False,2,"{""<=50K"": 0.998519, "">50K"": 0.001481}"
17996,sex=Male | race=White | age=30,age=30,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,<=50K,<=50K,0.670382,0.670382,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
30609,sex=Male | race=Black | age=42,age=42,sex=Male | race=Black,age=40-49,6745,6745,333,333,333,6412,0.95063,True,True,False,False,>50K,<=50K,0.663664,0.336336,False,2,"{""<=50K"": 0.663664, "">50K"": 0.336336}"
17265,sex=Male | race=White | age=44,age=44,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,>50K,<=50K,0.532384,0.467616,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
23407,sex=Male | race=White | age=25,age=25,sex=Male | race=White,age=20-29,7354,7354,3922,3922,3922,3432,0.466685,True,True,False,False,<=50K,<=50K,0.917134,0.917134,False,2,"{""<=50K"": 0.917134, "">50K"": 0.082866}"
15307,sex=Male | race=White | age=39,age=39,sex=Male | race=White,age=30-39,8051,8051,5024,5024,5024,3027,0.375978,True,True,False,False,<=50K,<=50K,0.670382,0.670382,False,2,"{""<=50K"": 0.670382, "">50K"": 0.329618}"
28391,sex=Female | race=White | age=48,age=48,sex=Female | race=White,age=40-49,6745,6745,1566,1566,1566,5179,0.767828,True,True,False,False,<=50K,<=50K,0.809706,0.809706,False,2,"{""<=50K"": 0.809706, "">50K"": 0.190294}"
5057,sex=Male | race=White | age=26,age=26,sex=Male | race=White,age=20-29,7354,7354,3922,3922,3922,3432,0.466685,True,True,False,False,<=50K,<=50K,0.917134,0.917134,False,2,"{""<=50K"": 0.917134, "">50K"": 0.082866}"
10622,sex=Female | race=White | age=20,age=20,sex=Female | race=White,age=20-29,7354,7354,2410,2410,2410,4944,0.672287,True,True,False,False,<=50K,<=50K,0.956846,0.956846,False,2,"{""<=50K"": 0.956846, "">50K"": 0.043154}"
24320,sex=Male | race=White | age=49,age=49,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,>50K,<=50K,0.532384,0.467616,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
25660,sex=Male | race=White | age=43,age=43,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,>50K,<=50K,0.532384,0.467616,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
31329,sex=Female | race=White | age=28,age=28,sex=Female | race=White,age=20-29,7354,7354,2410,2410,2410,4944,0.672287,True,True,False,False,<=50K,<=50K,0.956846,0.956846,False,2,"{""<=50K"": 0.956846, "">50K"": 0.043154}"
7132,sex=Female | race=White | age=20,age=20,sex=Female | race=White,age=20-29,7354,7354,2410,2410,2410,4944,0.672287,True,True,False,False,<=50K,<=50K,0.956846,0.956846,False,2,"{""<=50K"": 0.956846, "">50K"": 0.043154}"
20094,sex=Male | race=Black | age=21,age=21,sex=Male | race=Black,age=20-29,7354,7354,399,399,399,6955,0.945744,True,True,False,False,<=50K,<=50K,0.952381,0.952381,False,2,"{""<=50K"": 0.952381, "">50K"": 0.047619}"
16290,sex=Male | race=White | age=21,age=21,sex=Male | race=White,age=20-29,7354,7354,3922,3922,3922,3432,0.466685,True,True,False,False,<=50K,<=50K,0.917134,0.917134,False,2,"{""<=50K"": 0.917134, "">50K"": 0.082866}"
15343,sex=Male | race=White | age=46,age=46,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,>50K,<=50K,0.532384,0.467616,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
5326,sex=Male | race=White | age=59,age=59,sex=Male | race=White,age=50-59,4106,4106,2686,2686,2686,1420,0.345835,True,True,False,False,<=50K,<=50K,0.513031,0.513031,False,2,"{""<=50K"": 0.513031, "">50K"": 0.486969}"
4746,sex=Male | race=White | age=28,age=28,sex=Male | race=White,age=20-29,7354,7354,3922,3922,3922,3432,0.466685,True,True,False,False,>50K,<=50K,0.917134,0.082866,False,2,"{""<=50K"": 0.917134, "">50K"": 0.082866}"
5827,sex=Male | race=White | age=54,age=54,sex=Male | race=White,age=50-59,4106,4106,2686,2686,2686,1420,0.345835,True,True,False,False,<=50K,<=50K,0.513031,0.513031,False,2,"{""<=50K"": 0.513031, "">50K"": 0.486969}"
5040,sex=Female | race=White | age=53,age=53,sex=Female | race=White,age=50-59,4106,4106,916,916,916,3190,0.776912,True,True,False,False,<=50K,<=50K,0.805677,0.805677,False,2,"{""<=50K"": 0.805677, "">50K"": 0.194323}"
12966,sex=Female | race=Black | age=23,age=23,sex=Female | race=Black,age=20-29,7354,7354,342,342,342,7012,0.953495,True,True,False,False,<=50K,<=50K,0.973684,0.973684,False,2,"{""<=50K"": 0.973684, "">50K"": 0.026316}"
5861,sex=Male | race=White | age=66,age=66,sex=Male | race=White,age=60-69,1876,1876,1218,1218,1218,658,0.350746,True,True,False,False,<=50K,<=50K,0.652709,0.652709,False,2,"{""<=50K"": 0.652709, "">50K"": 0.347291}"
14912,sex=Female | race=White | age=45,age=45,sex=Female | race=White,age=40-49,6745,6745,1566,1566,1566,5179,0.767828,True,True,False,False,<=50K,<=50K,0.809706,0.809706,False,2,"{""<=50K"": 0.809706, "">50K"": 0.190294}"
15524,sex=Female | race=White | age=43,age=43,sex=Female | race=White,age=40-49,6745,6745,1566,1566,1566,5179,0.767828,True,True,False,False,>50K,<=50K,0.809706,0.190294,False,2,"{""<=50K"": 0.809706, "">50K"": 0.190294}"
31742,sex=Male | race=White | age=44,age=44,sex=Male | race=White,age=40-49,6745,6745,4215,4215,4215,2530,0.375093,True,True,False,False,>50K,<=50K,0.532384,0.467616,False,2,"{""<=50K"": 0.532384, "">50K"": 0.467616}"
3314,sex=Male | race=Black | age=47,age=47,sex=Male | race=Black,age=40-49,6745,6745,333,333,333,6412,0.95063,True,True,False,False,<=50K,<=50K,0.663664,0.663664,False,2,"{""<=50K"": 0.663664, "">50K"": 0.336336}"
